uf,cidade,candidato,votos_validos,votos_concorrentes,lat,lon
AL,BARRA DE SÃO MIGUEL,LULA,2739,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,SIMONE TEBET,198,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,CIRO GOMES,146,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,SORAYA THRONICKE,37,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,PADRE KELMON,9,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,FELIPE D'AVILA,5,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,SOFIA MANZANO,1,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,VERA,1,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,CONSTITUINTE EYMAEL,0,5905,-9.8261357,-35.8837777
AL,BARRA DE SÃO MIGUEL,LÉO PÉRICLES,0,5905,-9.8261357,-35.8837777
AL,BATALHA,LULA,6244,9597,-9.6733809,-37.1265481
AL,BATALHA,JAIR BOLSONARO,2727,9597,-9.6733809,-37.1265481
AL,BATALHA,SIMONE TEBET,345,9597,-9.6733809,-37.1265481
AL,BATALHA,CIRO GOMES,197,9597,-9.6733809,-37.1265481
AL,BATALHA,SORAYA THRONICKE,64,9597,-9.6733809,-37.1265481
AL,BATALHA,PADRE KELMON,9,9597,-9.6733809,-37.1265481
AL,BATALHA,FELIPE D'AVILA,8,9597,-9.6733809,-37.1265481
AL,BATALHA,SOFIA MANZANO,1,9597,-9.6733809,-37.1265481
AL,BATALHA,VERA,1,9597,-9.6733809,-37.1265481
AL,BATALHA,LÉO PÉRICLES,1,9597,-9.6733809,-37.1265481
AL,BATALHA,CONSTITUINTE EYMAEL,0,9597,-9.6733809,-37.1265481
AL,BELO MONTE,LULA,3192,4461,-9.8269944,-37.2787165
AL,BELO MONTE,JAIR BOLSONARO,1006,4461,-9.8269944,-37.2787165
AL,BELO MONTE,SIMONE TEBET,159,4461,-9.8269944,-37.2787165
AL,BELO MONTE,CIRO GOMES,86,4461,-9.8269944,-37.2787165
AL,BELO MONTE,SORAYA THRONICKE,14,4461,-9.8269944,-37.2787165
AL,BELO MONTE,PADRE KELMON,3,4461,-9.8269944,-37.2787165
AL,BELO MONTE,SOFIA MANZANO,1,4461,-9.8269944,-37.2787165
AL,BELO MONTE,CONSTITUINTE EYMAEL,0,4461,-9.8269944,-37.2787165
AL,BELO MONTE,VERA,0,4461,-9.8269944,-37.2787165
AL,BELO MONTE,FELIPE D'AVILA,0,4461,-9.8269944,-37.2787165
AL,BELO MONTE,LÉO PÉRICLES,0,4461,-9.8269944,-37.2787165
AL,BELÉM,LULA,2442,3488,-1.45056,-48.4682453
AL,BELÉM,JAIR BOLSONARO,790,3488,-1.45056,-48.4682453
AL,BELÉM,SIMONE TEBET,187,3488,-1.45056,-48.4682453
AL,BELÉM,CIRO GOMES,51,3488,-1.45056,-48.4682453
AL,BELÉM,SORAYA THRONICKE,8,3488,-1.45056,-48.4682453
